Input feed cut file input-unit/svv-dual-band-2.204GHz-rhcp.cut, CF(dB)=-0.30, complex field for theta,phi degrees
    THETA    PHI        POL-1,real         POL-1,imag         POL-2,real         POL-2,imag
   87.00     5.00       3.688589E-01       2.771943E-01       3.292113E-02       6.474489E-02
   88.00     5.00       3.619304E-01       2.665853E-01       3.616905E-02       6.380023E-02
   89.00     5.00       3.555135E-01       2.559162E-01       3.870413E-02       6.256805E-02
   90.00     5.00       3.497125E-01       2.452802E-01       4.073167E-02       6.072330E-02
   91.00     5.00       3.446945E-01       2.348663E-01       4.262364E-02       5.811693E-02
   92.00     5.00       3.403812E-01       2.249357E-01       4.475281E-02       5.480066E-02
   93.00     5.00       3.366105E-01       2.157041E-01       4.741910E-02       5.102279E-02
   94.00     5.00       3.331107E-01       2.072954E-01       5.074668E-02       4.715449E-02
   95.00     5.00       3.295604E-01       1.996885E-01       5.464483E-02       4.357851E-02
   96.00     5.00       3.256725E-01       1.927048E-01       5.883350E-02       4.057360E-02
   97.00     5.00       3.212727E-01       1.860434E-01       6.292608E-02       3.822942E-02
   98.00     5.00       3.163273E-01       1.793017E-01       6.654040E-02       3.639094E-02
   99.00     5.00       3.110667E-01       1.722107E-01       6.944233E-02       3.478085E-02
  100.00     5.00       3.057600E-01       1.645569E-01       7.157972E-02       3.298375E-02
  101.00     5.00       3.007833E-01       1.563033E-01       7.313479E-02       3.063020E-02
  102.00     5.00       2.964987E-01       1.476033E-01       7.446872E-02       2.750066E-02
  103.00     5.00       2.931663E-01       1.387793E-01       7.601859E-02       2.360246E-02
  104.00     5.00       2.908727E-01       1.302643E-01       7.816656E-02       1.918234E-02
  105.00     5.00       2.894592E-01       1.224912E-01       8.111048E-02       1.465642E-02
  106.00     5.00       2.886508E-01       1.158306E-01       8.482423E-02       1.053162E-02
  107.00     5.00       2.879203E-01       1.104859E-01       8.899975E-02       7.223181E-03
  108.00     5.00       2.867123E-01       1.063976E-01       9.315051E-02       4.951470E-03
  109.00     5.00       2.845371E-01       1.032514E-01       9.672785E-02       3.663846E-03
  110.00     5.00       2.810896E-01       1.005299E-01       9.926892E-02       3.034063E-03
  111.00     5.00       2.763319E-01       9.761954E-02       1.005267E-01       2.537481E-03
  112.00     5.00       2.704948E-01       9.396228E-02       1.005466E-01       1.573492E-03
  113.00     5.00       2.641036E-01       8.909694E-02       9.966953E-02      -3.519515E-04
  114.00     5.00       2.577798E-01       8.293661E-02       9.844998E-02      -3.521460E-03
  115.00     5.00       2.521506E-01       7.565056E-02       9.752651E-02      -7.911074E-03
  116.00     5.00       2.477044E-01       6.767946E-02       9.746385E-02      -1.318452E-02
  117.00     5.00       2.446843E-01       5.964338E-02       9.861084E-02      -1.876255E-02
  118.00     5.00       2.430347E-01       5.221310E-02       1.010082E-01      -2.395168E-02
  119.00     5.00       2.424120E-01       4.597385E-02       1.043675E-01      -2.810127E-02
  120.00     5.00       2.422440E-01       4.133535E-02       1.081230E-01      -3.075271E-02
  121.00     5.00       2.418518E-01       3.833608E-02       1.115572E-01      -3.174575E-02
  122.00     5.00       2.405922E-01       3.683564E-02       1.139438E-01      -3.125548E-02
  123.00     5.00       2.379439E-01       3.639372E-02       1.147023E-01      -2.976421E-02
  124.00     5.00       2.336162E-01       3.639897E-02       1.135184E-01      -2.796391E-02
  125.00     5.00       2.275951E-01       3.618098E-02       1.104089E-01      -2.661822E-02
  126.00     5.00       2.201382E-01       3.512833E-02       1.057173E-01      -2.641271E-02
  127.00     5.00       2.117225E-01       3.279117E-02       1.000477E-01      -2.782407E-02
  128.00     5.00       2.029569E-01       2.895102E-02       9.414972E-02      -3.103290E-02
